No.,NT_Name {properties.title},ID,DCMSList,Strapline,Y {latitude},X {longitude},Lines,Town,County,Country,Postcode,Region,Phone,Email,Website {properties.url},"{$.@id=""https://w3id.org/locolligo/National-Trust-Sites""}"
1,Ascott,14,1,"Half-timbered house originating from 1606, transformed by the Rothschilds in the late 19th century, containing superb collections.",51.895802,-0.70058,Wing,near Leighton Buzzard,Buckinghamshire,England,LU7 0PR,London and South East,4.41297E+11,ascott@nationaltrust.org.uk,https://www.nationaltrust.org.uk/ascott,
2,Peckover House and Garden,258,1,Elegant Georgian town house with wonderful walled garden,52.665487,0.154538,North Brink,Wisbech,Cambridgeshire,England,PE13 1JR,East of England,4.41946E+11,peckover@nationaltrust.org.uk,https://www.nationaltrust.org.uk/peckover-house-and-garden,
3,"Bridestones, Crosscliff and Blakey Topping",51,0,Moorland nature reserve with unusual and unique rock formations,54.302502,-0.66015,Staindale; Dalby,Pickering,North Yorkshire,England,YO18 7LR,Yorkshire and North East,4.41724E+11,bridestones@nationaltrust.org.uk,https://www.nationaltrust.org.uk/bridestones-crosscliff-and-blakey-topping,
4,Conwy Suspension Bridge,89,1,Elegant suspension bridge and toll-keeper's house,53.281128,-3.828009,--,--,Conwy,Wales,LL32 8LD,Wales,4.41493E+11,conwybridge@nationaltrust.org.uk,https://www.nationaltrust.org.uk/conwy-suspension-bridge,
5,"The Coombes, Hinton Parva",6110,0,Rare wildflowers and a myriad of butterflies,51.540943,-1.672638,Bodyhorse Hill; Hinton Parva,--,Wiltshire,England,SN4 0DH,South West,4.41673E+11,wiltshire.countryside@nationaltrust.org.uk,https://www.nationaltrust.org.uk/the-coombes-hinton-parva,
6,"Longshaw, Burbage and the Eastern Moors",213,0,Excellent walking country with ancient woods and tumbling streams,53.316263,-1.600686,Longshaw,near Sheffield,Derbyshire,England,--,Midlands,4.41434E+11,peakdistrict@nationaltrust.org.uk,https://www.nationaltrust.org.uk/longshaw-burbage-and-the-eastern-moors,
7,Ludshott Commons,6158,0,One of the largest remaining areas of heathland in east Hampshire,51.1084,-0.77936,Headley Road,Nr Headley Down,Hampshire,England,GU26 6JJ,London and South East,4.41429E+11,selborneandludshott@nationaltrust.org.uk,https://www.nationaltrust.org.uk/ludshott-commons,
8,Houghton Mill and Waterclose Meadows,177,1,Impressive working 18th-century watermill and campsite,52.3311,-0.1204,Houghton,near Huntingdon,Cambridgeshire,England,PE28 2AZ,East of England,4.4148E+11,houghtonmill@nationaltrust.org.uk,https://www.nationaltrust.org.uk/houghton-mill-and-waterclose-meadows,
9,Buckingham Chantry Chapel,56,1,"Fifteenth-century chapel, restored by Gilbert Scott in 1875",52.000999,-0.98665,Market Hill,Buckingham,Buckinghamshire,England,MK18 1JX,London and South East,4.41281E+11,buckinghamchantry@nationaltrust.org.uk,https://www.nationaltrust.org.uk/buckingham-chantry-chapel,
10,Morville Hall,230,1,Stone-built house of Elizabethan origin,52.544399,-2.49188,Morville,near Bridgnorth,Shropshire,England,WV16 5NB,Midlands,4.41747E+11,dudmaston@nationaltrust.org.uk,https://www.nationaltrust.org.uk/morville-hall,
