label,identifier
abbey,https://www.wikidata.org/wiki/Q160742
archaeological site,https://www.wikidata.org/wiki/Q839954
architectural structure,https://www.wikidata.org/wiki/Q811979
battlefield,https://www.wikidata.org/wiki/Q4895508
bridge,https://www.wikidata.org/wiki/Q12280
castle,https://www.wikidata.org/wiki/Q23413
chapel,https://www.wikidata.org/wiki/Q108325
church building,https://www.wikidata.org/wiki/Q16970
coast,https://www.wikidata.org/wiki/Q93352
conduit house,https://www.wikidata.org/wiki/Q87825008
fort,https://www.wikidata.org/wiki/Q1785071
fortification,https://www.wikidata.org/wiki/Q57821
friary,https://www.wikidata.org/wiki/Q20672229
garden,https://www.wikidata.org/wiki/Q1107656
industrial location,https://www.wikidata.org/wiki/Q21550680
jacobites,https://www.wikidata.org/wiki/Q64852921
monastery,https://www.wikidata.org/wiki/Q44613
monument,https://www.wikidata.org/wiki/Q4989906
museum,https://www.wikidata.org/wiki/Q33506
palace,https://www.wikidata.org/wiki/Q16560
priory,https://www.wikidata.org/wiki/Q2750108
public figure,https://www.wikidata.org/wiki/Q662729
religious building,https://www.wikidata.org/wiki/Q24398318
residence,https://www.wikidata.org/wiki/Q699405
ruins,https://www.wikidata.org/wiki/Q109607
rural area,https://www.wikidata.org/wiki/Q175185
villa,https://www.wikidata.org/wiki/Q3950
windmill,https://www.wikidata.org/wiki/Q38720
woodland,https://www.wikidata.org/wiki/Q3241565
