English_visitor_site_name,Organisation,URL,X,Y,Description,Lines,Town,County,Country,Postcode,Region,Period
Badbury Rings,National Trust,https://www.nationaltrust.org.uk/kingston-lacy/features/badbury-rings,2.0583,50.8272,TBC,--,--,--,--,--,South West,
Beesands to Hallsands,National Trust,https://www.nationaltrust.org.uk/place-pages/6076/pages/opening-times-calendar,-3.659649,50.24369,Discover the haunting remains of the lost village of Hallsands,--,Beesands,Devon,England,TQ7,South West,
Bodysgallen Hall and Spa,National Trust,https://www.nationaltrust.org.uk/holidays/bodysgallen-hall-and-spa-north-wales,-3.802557,53.296799,"Bodysgallen Hall Hotel Restaurant & Spa, C17th Grade 1 listed set in 220 acres",The Royal Welsh Way,Llandudno,Conwy,Wales,LL30 1RS,Wales,
Combe Wood,National Trust,https://www.nationaltrust.org.uk/shute-barton/features/combe-wood,-3.191013,50.80767,Escape the bustle and enjoy a secluded woodland walk,--,near Honiton,Devon,England,EX14,South West,
Dumpdon Hill Fort,National Trust,https://www.nationaltrust.org.uk/shute-barton/features/dumpdon-hill-fort,-3.169994,50.831461,An ancient hill fort with views over the Otter Valley,Dumpdon Lane; near Beacon,Honiton,Devon,England,EX14,South West,
Eifionydd,National Trust,https://www.nationaltrust.org.uk/features/hafod-garegog-tree-nursery,-4.334769,53.081867,Snowdon's pastoral foothills reach down to the sea,--,Dinas Dinlle,Gwynedd,Wales,LL54,Wales,
Finchampstead Ridges,National Trust,https://www.nationaltrust.org.uk/runnymede/features/finchampstead-ridges,-0.839402349,51.36420527,Finchampstead Ridges,--,--,--,--,--,--,
Middlethorpe Hall and Spa,National Trust,https://www.nationaltrust.org.uk/holidays/middlethorpe-hall-and-spa-york,-1.088655,53.93051,"Middlethorpe Hall Hotel Restaurant & Spa, handsome William and Mary country house set in 20 acres of garden and parkland within the City of Yorkâ€¦",Bishopthorpe Road,York,North Yorkshire,England,YO23 2GB,Yorkshire and North East,
Morston Quay,National Trust,https://www.nationaltrust.org.uk/morston-quay,0.98656,52.956741,Explore the Norfolk Coast from Morston Quay,Morston Quay; Quay Lane,Holt,Norfolk,--,NR25 7BH,East of England,
Northumberland Coast,National Trust,https://www.nationaltrust.org.uk/days-out/northumberland-coast,-1.594529286,55.48078075,TBC,--,--,--,--,--,--,
Outridge Farm,National Trust,https://www.nationaltrust.org.uk/holidays/octavia-hill-kent,0.100372,51.253806,A traditional English landscape,Piper's Green Road; Brasted,Westerham,Kent,England,TN16 1ND,London and South East,
Paxton's Tower,National Trust,https://www.nationaltrust.org.uk/features/feel-on-top-of-the-world-at-paxtons-tower-,-4.11978,51.851831,"Neo-Gothic folly erected in honour of Lord Nelson, situated on a hilltop near Llanarthney in the Towy Valley",Llanarthney,Carmarthen,Carmarthenshire,Wales,--,Wales,
Porth Meudwy,National Trust,https://www.nationaltrust.org.uk/features/porth-meudwy,-4.532271,52.847872,It was from here that the Pilgrims set out to Ynys Enlli (Bardsey Island),near Aberdaron,--,Gwynedd,Wales,--,Wales,
Ringmore and Kingston,National Trust,https://www.nationaltrust.org.uk/noss-mayo/features/ringmore-and-kingston,-3.90933,50.295425,"A secluded, unspolit beach at Ayrmer",Ringmore,Kingsbridge,Devon,England,TQ7,South West,
Salcombe to Hope Cove,National Trust,https://www.nationaltrust.org.uk/east-soar/trails/bolt-head-walk,-3.839207,50.231093,"A coastline of dramatic cliffs, open farmland and sandy coves",--,Salcombe,Devon,England,--,South West,
St George's Guildhall,National Trust,https://www.nationaltrust.org.uk/st-georges-guildhall,0.39507,52.755199,Rare large medieval guildhall,29 King Street,King's Lynn,Norfolk,England,PE30 1HA,East of England,
Stembridge Tower Mill,National Trust,https://www.nationaltrust.org.uk/stembridge-tower-mill,-2.80628,51.070301,The last remaining thatched windmill in England,--,High Ham,Somerset,England,TA10 9DJ,South West,
Sundon Hills Country Park,National Trust,https://www.nationaltrust.org.uk/sharpenhoe,-0.476063,51.946487,One of the highest points in Bedfordshire,Harlington Road,Upper Sundon,Bedfordshire,England,--,East of England,
Totternhoe Knolls,National Trust,https://www.nationaltrust.org.uk/lists/walking-in-essex-bedfordshire-and-hertfordshire,-0.569598,51.885604,Totternhoe Knolls sits within an important medieval quarrying area,Castle Hill Road,Totternhoe,Bedfordshire,England,--,East of England,
